Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Excalibur,"Adventure, Drama, Fantasy","['Nigel Terry', 'Helen Mirren', 'Nicholas Clay', 'Cherie Lunghi']",['John Boorman'],"Thomas Malory (book), Rospo Pallenberg (adaptation), Rospo Pallenberg (screenplay), John Boorman (screenplay)",English,0,"USA, UK",10 Apr 1981,140 min,7.4,Nominated for 1 Oscar. Another 2 wins & 9 nominations.,tt0082348.jpg,"[5061, 11718, 10776, 7630]",[897]
Bustin' Loose,Comedy,"['Richard Pryor', 'Cicely Tyson', 'Angel Ramirez', 'Jimmy Hughes']","['Oz Scott', 'Michael Schultz']","Lonne Elder III (adaptation), Richard Pryor (story), Roger L. Simon (screenplay)",English,0,USA,22 May 1981,94 min,6.0,2 wins.,tt0082121.jpg,"[15259, 695, 8858, 10371]","[3314, 4794]"
An American Werewolf in London,"Comedy, Fantasy, Horror","['Joe Belcher', 'David Naughton', 'Griffin Dunne', 'David Schofield']",['John Landis'],John Landis,English,0,"UK, USA",21 Aug 1981,97 min,7.6,Won 1 Oscar. Another 2 wins & 3 nominations.,tt0082010.jpg,"[7060, 2745, 490, 4205]",[3841]
Fort Apache the Bronx,"Crime, Drama","['Paul Newman', 'Edward Asner', 'Ken Wahl', 'Danny Aiello']",['Daniel Petrie'],"Heywood Gould, Thomas Mulhearn (suggested by the experiences of), Pete Tessitore (suggested by the experiences of)",English,29200000,USA,06 Feb 1981,125 min,6.7,,tt0082402.jpg,"[11378, 5478, 7173, 2125]",[3584]
The French Lieutenant's Woman,"Drama, Romance","['Meryl Streep', 'Jeremy Irons', 'Hilton McRae', 'Emily Morgan']",['Karel Reisz'],"John Fowles (novel), Harold Pinter (screenplay)",English,0,UK,16 Oct 1981,124 min,7.0,Nominated for 5 Oscars. Another 9 wins & 14 nominations.,tt0082416.jpg,"[13255, 9993, 13650, 86]",[49]
Modern Problems,"Comedy, Fantasy, Sci-Fi","['Chevy Chase', ""Patti D'Arbanville"", 'Dabney Coleman', 'Mary Kay Place']",['Ken Shapiro'],"Ken Shapiro, Tom Sherohman, Arthur Sellers (screenplay)",English,0,USA,25 Dec 1981,89 min,4.9,1 nomination.,tt0082763.jpg,"[709, 10250, 9554, 13965]",[2676]
Halloween II,Horror,"['Jamie Lee Curtis', 'Donald Pleasence', 'Charles Cyphers', 'Jeffrey Kramer']",['Rick Rosenthal'],"John Carpenter, Debra Hill",English,25500000,USA,30 Oct 1981,92 min,6.5,3 nominations.,tt0082495.jpg,"[13051, 1980, 7965, 220]",[1806]
Escape from New York,"Action, Sci-Fi","['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine', 'Donald Pleasence']",['John Carpenter'],"John Carpenter, Nick Castle",English,25244700,"UK, USA",10 Jul 1981,99 min,7.2,4 nominations.,tt0082340.jpg,"[10691, 9528, 5345, 1980]",[2594]
Body Heat,"Crime, Drama, Thriller","['William Hurt', 'Kathleen Turner', 'Richard Crenna', 'Ted Danson']",['Lawrence Kasdan'],Lawrence Kasdan,English,0,USA,18 Sep 1981,113 min,7.4,Nominated for 1 Golden Globe. Another 5 nominations.,tt0082089.jpg,"[6437, 4508, 7100, 2185]",[3158]
Friday the 13th Part 2,"Horror, Mystery, Thriller","['Amy Steel', 'John Furey', 'Adrienne King', 'Kirsten Baker']",['Steve Miner'],"Ron Kurz, Victor Miller (characters)",English,19100000,USA,01 May 1981,87 min,6.1,3 nominations.,tt0082418.jpg,"[14431, 10635, 14963, 4453]",[3646]
The Incredible Shrinking Woman,"Comedy, Sci-Fi","['Lily Tomlin', 'Charles Grodin', 'Ned Beatty', 'Henry Gibson']",['Joel Schumacher'],"Richard Matheson (novel), Jane Wagner",English,0,USA,30 Jan 1981,88 min,5.4,1 win & 3 nominations.,tt0082558.jpg,"[5272, 3185, 2715, 8441]",[578]
Paternity,"Comedy, Romance","['Burt Reynolds', ""Beverly D'Angelo"", 'Norman Fell', 'Paul Dooley']",['David Steinberg'],Charlie Peters,English,0,USA,02 Oct 1981,94 min,4.8,2 wins & 2 nominations.,tt0082886.jpg,"[13707, 14095, 15290, 4823]",[4613]
Under the Rainbow,Comedy,"['Chevy Chase', 'Carrie Fisher', 'Eve Arden', 'Joseph Maher']",['Steve Rash'],"Fred Bauer (story), Pat Bradley (story), Pat McCormick (screenplay), Harry Hurwitz (screenplay), Martin Smith (screenplay), Pat Bradley (screenplay), Fred Bauer (screenplay)",English,8500000,USA,31 Jul 1981,98 min,5.4,1 win & 4 nominations.,tt0083254.jpg,"[709, 6094, 15320, 11570]",[1799]
The Howling,Horror,"['Dee Wallace', 'Patrick Macnee', 'Dennis Dugan', 'Christopher Stone']",['Joe Dante'],"Gary Brandner (novel), John Sayles (screenplay), Terence H. Winkless (screenplay)","English, Spanish",17986000,USA,10 Apr 1981,91 min,6.6,2 wins & 2 nominations.,tt0082533.jpg,"[253, 14825, 6248, 13827]",[1625]
Eye of the Needle,"Romance, Thriller, War","['Donald Sutherland', 'Stephen MacKenna', 'Philip Martin Brown', 'Kate Nelligan']",['Richard Marquand'],"Ken Follett (based on the novel by), Stanley Mann (screenplay)","English, German",0,UK,24 Jul 1981,112 min,7.1,1 nomination.,tt0082351.jpg,"[15198, 5632, 4680, 13831]",[4537]
Take This Job and Shove It,Comedy,"['Robert Hays', 'Barbara Hershey', 'David Keith', 'Tim Thomerson']",['Gus Trikonis'],"Barry Schneider (screenplay), Jeffrey Bernini (story), Barry Schneider (story)",English,17569030,USA,15 May 1981,100 min,4.9,,tt0083163.jpg,"[2294, 2875, 14503, 7594]",[2811]
Outland,"Action, Crime, Sci-Fi","['Sean Connery', 'Peter Boyle', 'Frances Sternhagen', 'James Sikking']",['Peter Hyams'],Peter Hyams,English,0,UK,22 May 1981,112 min,6.6,Nominated for 1 Oscar. Another 1 win & 6 nominations.,tt0082869.jpg,"[6373, 13586, 1181, 1235]",[1702]
Caveman,"Comedy, Sci-Fi","['Ringo Starr', 'Dennis Quaid', 'Shelley Long', 'Jack Gilford']",['Carl Gottlieb'],"Rudy De Luca, Carl Gottlieb",English,0,USA,17 Apr 1981,91 min,5.7,1 win & 1 nomination.,tt0082146.jpg,"[10702, 12575, 953, 2332]",[783]
Continental Divide,"Comedy, Romance","['John Belushi', 'Blair Brown', 'Allen Garfield', 'Carlin Glynn']",['Michael Apted'],Lawrence Kasdan,English,0,USA,18 Sep 1981,103 min,6.1,,tt0082200.jpg,"[8712, 12138, 14421, 1782]",[2981]
The Night the Lights Went Out in Georgia,"Drama, Music","['Kristy McNichol', 'Dennis Quaid', 'Mark Hamill', 'Sunny Johnson']",['Ron Maxwell'],Bob Bonney (screen story and screenplay),English,0,USA,05 Jun 1981,112 min,6.0,,tt0082816.jpg,"[11539, 12575, 8254, 15501]",[1186]
Nighthawks,"Action, Crime, Thriller","['Sylvester Stallone', 'Billy Dee Williams', 'Lindsay Wagner', 'Persis Khambatta']","['Bruce Malmuth', 'Gary Nelson']","David Shaber (screenplay), David Shaber (story), Paul Sylbert (story)","English, German, French, Swedish",0,USA,10 Apr 1981,99 min,6.4,,tt0082817.jpg,"[10200, 12924, 1693, 3837]","[1755, 3086]"
S.O.B.,Comedy,"['Julie Andrews', 'William Holden', 'Marisa Berenson', 'Larry Hagman']",['Blake Edwards'],Blake Edwards,English,0,USA,01 Jul 1981,122 min,6.4,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,tt0083015.jpg,"[5654, 8267, 2330, 2268]",[3418]
True Confessions,"Crime, Drama","['Robert De Niro', 'Robert Duvall', 'Charles Durning', 'Kenneth McMillan']",['Ulu Grosbard'],"John Gregory Dunne (novel), John Gregory Dunne (screenplay), Joan Didion (screenplay)",English,0,USA,25 Sep 1981,108 min,6.4,2 wins & 2 nominations.,tt0083232.jpg,"[9311, 14918, 10670, 2234]",[975]
The Legend of the Lone Ranger,"Action, Adventure, Western","['Klinton Spilsbury', 'Michael Horse', 'Christopher Lloyd', 'Matt Clark']",['William A. Fraker'],"Ivan Goff (screenplay), Ben Roberts (screenplay), Michael Kane (screenplay), William Roberts (screenplay), Gerald B. Derloshon (adaptation), George W. Trendle (characters), Fran Striker (characters)",English,8000000,"USA, UK",22 May 1981,98 min,5.0,4 wins & 4 nominations.,tt0082648.jpg,"[2826, 2855, 11204, 4283]",[999]
First Monday in October,"Comedy, Drama","['Walter Matthau', 'Jill Clayburgh', 'Barnard Hughes', 'Jan Sterling']",['Ronald Neame'],"Jerome Lawrence (play), Jerome Lawrence (screenplay), Robert E. Lee (play), Robert E. Lee (screenplay)",English,0,USA,21 Aug 1981,98 min,6.4,Nominated for 2 Golden Globes. Another 1 nomination.,tt0082382.jpg,"[15045, 14714, 4213, 1681]",[583]
The Postman Always Rings Twice,"Crime, Drama, Thriller","['Jack Nicholson', 'Jessica Lange', 'John Colicos', 'Michael Lerner']",['Bob Rafelson'],"James M. Cain (novel), David Mamet (screenplay)",English,0,"USA, West Germany",20 Mar 1981,122 min,6.6,1 win & 1 nomination.,tt0082934.jpg,"[3905, 8106, 12804, 12293]",[3732]
Blow Out,"Drama, Mystery, Thriller","['John Travolta', 'Nancy Allen', 'John Lithgow', 'Dennis Franz']",['Brian De Palma'],Brian De Palma,English,0,USA,24 Jul 1981,107 min,7.4,2 nominations.,tt0082085.jpg,"[7806, 12988, 14984, 1985]",[439]
Back Roads,"Adventure, Comedy, Romance","['Sally Field', 'Tommy Lee Jones', 'David Keith', 'Miriam Colon']",['Martin Ritt'],Gary DeVore,English,0,USA,13 Mar 1981,94 min,5.6,,tt0082042.jpg,"[3903, 1369, 14503, 9220]",[422]
Thief,"Action, Crime, Drama","['James Caan', 'Tuesday Weld', 'Willie Nelson', 'James Belushi']",['Michael Mann'],"Frank Hohimer (novel), Michael Mann (screen story), Michael Mann (screenplay)",English,4300000,USA,27 Mar 1981,122 min,7.4,2 wins & 6 nominations.,tt0083190.jpg,"[4374, 6393, 65, 11936]",[1713]
Ragtime,Drama,"['James Cagney', 'Brad Dourif', 'Moses Gunn', 'Elizabeth McGovern']",['Milos Forman'],"E.L. Doctorow (based on the novel by), Michael Weller (screenplay)",English,0,USA,25 Dec 1981,155 min,7.3,Nominated for 8 Oscars. Another 2 wins & 13 nominations.,tt0082970.jpg,"[7364, 8985, 3189, 14019]",[3263]
Victory,"Action, Drama, Sport","['Sylvester Stallone', 'Michael Caine', 'Pele', 'Bobby Moore']",['John Huston'],"Yabo Yablonsky (story), Djordje Milicevic (story), Jeff Maguire (story), Evan Jones (screenplay), Yabo Yablonsky (screenplay)",English,0,"USA, UK",31 Jul 1981,116 min,6.6,1 nomination.,tt0083284.jpg,"[10200, 2020, 14082, 243]",[4704]
Rollover,"Drama, Mystery, Romance","['Jane Fonda', 'Kris Kristofferson', 'Hume Cronyn', 'Josef Sommer']",['Alan J. Pakula'],"Howard Kohn (story), David Shaber (screenplay), David Shaber (story), David Weir (story)",English,0,USA,11 Dec 1981,116 min,5.3,1 nomination.,tt0083006.jpg,"[610, 6381, 3510, 11586]",[2885]
Wolfen,"Horror, Thriller","['Albert Finney', 'Diane Venora', 'Edward James Olmos', 'Gregory Hines']",['Michael Wadleigh'],"Whitley Strieber (based on the novel by), David Eyre (screen story), Michael Wadleigh (screen story), David Eyre (screenplay), Michael Wadleigh (screenplay)",English,0,USA,24 Jul 1981,115 min,6.3,2 wins & 4 nominations.,tt0083336.jpg,"[2693, 8114, 5257, 3683]",[1387]
Carbon Copy,Comedy,"['George Segal', 'Susan Saint James', 'Jack Warden', 'Dick Martin']",['Michael Schultz'],Stanley Shapiro,"English, Spanish",0,"USA, UK",25 Sep 1981,92 min,5.6,,tt0082138.jpg,"[8700, 3708, 11938, 6669]",[4794]
Pennies from Heaven,"Drama, Musical, Romance","['Steve Martin', 'Bernadette Peters', 'Jessica Harper', 'Vernel Bagneris']",['Herbert Ross'],Dennis Potter (written for the screen: based on original material by),English,3600000,USA,01 Jan 1982,108 min,6.5,Nominated for 3 Oscars. Another 3 wins & 6 nominations.,tt0082894.jpg,"[8851, 13972, 12512, 3138]",[2852]
Deadly Blessing,Horror,"['Maren Jensen', 'Sharon Stone', 'Susan Buckner', 'Jeff East']",['Wes Craven'],"Glenn M. Benest (story), Matthew Barr (story), Glenn M. Benest (screenplay), Matthew Barr (screenplay), Wes Craven (screenplay)",English,0,USA,14 Aug 1981,100 min,5.5,2 nominations.,tt0082245.jpg,"[14677, 14490, 6147, 11661]",[4206]
Whose Life Is It Anyway?,Drama,"['Richard Dreyfuss', 'John Cassavetes', 'Christine Lahti', 'Bob Balaban']",['John Badham'],"Brian Clark (play), Brian Clark (screenplay), Reginald Rose (screenplay)",English,0,USA,22 Jan 1982,119 min,7.4,,tt0083326.jpg,"[11046, 6218, 7943, 1493]",[1937]
Prince of the City,"Crime, Drama","['Treat Williams', 'Jerry Orbach', 'Richard Foronjy', 'Don Billett']",['Sidney Lumet'],"Jay Presson Allen (screenplay), Sidney Lumet (screenplay), Robert Daley (book)","English, Spanish, Italian",0,USA,21 Aug 1981,167 min,7.7,Nominated for 1 Oscar. Another 4 wins & 14 nominations.,tt0082945.jpg,"[8319, 6397, 12661, 3251]",[2343]
Buddy Buddy,Comedy,"['Jack Lemmon', 'Walter Matthau', 'Paula Prentiss', 'Klaus Kinski']",['Billy Wilder'],"Francis Veber (play), Francis Veber (story), Billy Wilder, I.A.L. Diamond",English,5000000,USA,11 Dec 1981,96 min,6.6,2 nominations.,tt0082111.jpg,"[5886, 15045, 14543, 7396]",[1097]
...All the Marbles,"Comedy, Drama, Sport","['Peter Falk', 'Vicki Frederick', 'Laurene Landon', 'Burt Young']",['Robert Aldrich'],Mel Frohman,English,0,USA,16 Oct 1981,113 min,6.3,1 win.,tt0081964.jpg,"[764, 6142, 10688, 12860]",[3041]
Eyewitness,"Romance, Thriller","['William Hurt', 'Sigourney Weaver', 'Christopher Plummer', 'James Woods']",['Peter Yates'],Steve Tesich,English,0,USA,13 Feb 1981,103 min,6.1,,tt0082353.jpg,"[6437, 7307, 1120, 8970]",[4143]
Going Ape!,"Comedy, Crime, Family","['Tony Danza', 'Jessica Walter', 'Stacey Nelkin', 'Danny DeVito']",['Jeremy Joe Kronsberg'],Jeremy Joe Kronsberg,English,0,"USA, UK",10 Apr 1981,87 min,3.6,3 nominations.,tt0082457.jpg,"[15227, 3158, 9451, 9798]",[1497]
Student Bodies,"Comedy, Horror","['Kristen Riter', 'Matthew Goldsby', 'Jerry Belson', 'Joe Flood']","['Mickey Rose', 'Michael Ritchie']",Mickey Rose,English,0,USA,07 Aug 1981,86 min,5.7,,tt0083133.jpg,"[9021, 11991, 1730, 15154]","[2510, 354]"
All Night Long,"Comedy, Drama, Romance","['Gene Hackman', 'Barbra Streisand', 'Diane Ladd', 'Dennis Quaid']",['Jean-Claude Tramont'],W.D. Richter,English,0,USA,06 Mar 1981,87 min,6.0,2 nominations.,tt0082001.jpg,"[1604, 11666, 11817, 12575]",[4759]
The Pursuit of D.B. Cooper,"Adventure, Crime, Thriller","['Robert Duvall', 'Treat Williams', 'Kathryn Harrold', 'Ed Flanders']","['Roger Spottiswoode', 'Buzz Kulik']","J.D. Reed (book), Jeffrey Alan Fiskin (screenplay)",English,0,USA,13 Nov 1981,100 min,5.7,1 win.,tt0082958.jpg,"[14918, 8319, 3654, 2403]","[1959, 1306]"
Modern Romance,"Comedy, Romance","['Albert Brooks', 'Kathryn Harrold', 'Tyann Means', 'Bruno Kirby']",['Albert Brooks'],"Albert Brooks, Monica Mcgowan Johnson",English,0,USA,13 Mar 1981,93 min,7.0,,tt0082764.jpg,"[9544, 3654, 13640, 9602]",[2306]
The Hand,"Drama, Horror, Thriller","['Michael Caine', 'Andrea Marcovicci', 'Annie McEnroe', 'Bruce McGill']",['Oliver Stone'],"Marc Brandel (novel), Oliver Stone (screenplay)",English,0,USA,24 Apr 1981,104 min,5.4,2 nominations.,tt0082497.jpg,"[2020, 3083, 10373, 6212]",[844]
Heartbeeps,"Sci-Fi, Comedy","['Andy Kaufman', 'Bernadette Peters', 'Randy Quaid', 'Kenneth McMillan']",['Allan Arkush'],John Hill,English,0,USA,18 Dec 1981,78 min,4.2,Nominated for 1 Oscar. Another 8 nominations.,tt0082507.jpg,"[10194, 13972, 14921, 2234]",[4625]
Sphinx,"Adventure, Mystery, Thriller","['Lesley-Anne Down', 'Frank Langella', 'Maurice Ronet', 'John Gielgud']",['Franklin J. Schaffner'],"John Byrum (screenplay), Robin Cook (novel)",English,800000,"USA, Netherlands",11 Feb 1981,118 min,5.2,,tt0083113.jpg,"[1880, 10578, 9104, 11096]",[3399]
Raggedy Man,Drama,"['Sissy Spacek', 'Eric Roberts', 'Sam Shepard', 'William Sanderson']",['Jack Fisk'],William D. Wittliff,English,0,USA,18 Sep 1981,94 min,6.8,Nominated for 1 Golden Globe. Another 1 nomination.,tt0082969.jpg,"[6958, 334, 1534, 2414]",[4760]
Cutter's Way,"Crime, Drama, Mystery","['Jeff Bridges', 'John Heard', 'Lisa Eichhorn', 'Ann Dusenberry']",['Ivan Passer'],"Newton Thornburg (novel), Jeffrey Alan Fiskin (screenplay)",English,0,USA,10 Feb 1982,109 min,6.9,2 wins & 2 nominations.,tt0082220.jpg,"[9039, 2869, 4630, 2945]",[1733]
Silence of the North,Drama,"['Ellen Burstyn', 'Tom Skerritt', 'Gordon Pinsent', 'Jennifer McKinney']",['Allan King'],"Ben East (book), Olive Fredrickson (book), Patricia Louisianna Knop",English,0,Canada,23 Oct 1981,94 min,6.7,1 win & 8 nominations.,tt0083079.jpg,"[1545, 6721, 14378, 6665]",[3145]
Eyes of a Stranger,"Horror, Thriller","['Lauren Tewes', 'Jennifer Jason Leigh', 'John DiSanti', 'Peter DuPre']",['Ken Wiederhorn'],"Eric L. Bloom, Ron Kurz",English,0,USA,27 Mar 1981,84 min,5.9,,tt0082352.jpg,"[6837, 10904, 2837, 8783]",[1341]
Cattle Annie and Little Britches,"Drama, Western","['Scott Glenn', 'Diane Lane', 'Burt Lancaster', 'Amanda Plummer']",['Lamont Johnson'],"David Eyre, Robert Ward (novel), Robert Ward (screen story)",English,0,USA,24 Apr 1981,97 min,6.1,1 win.,tt0082145.jpg,"[14534, 2578, 6893, 3347]",[1792]
Hard Country,Drama,"['Jan-Michael Vincent', 'Kim Basinger', 'Michael Parks', 'Gailard Sartain']",['David Greene'],"Michael Kane (story), Michael Martin Murphey (story), Michael Kane",English,0,USA,01 Apr 1981,104 min,6.2,1 nomination.,tt0082499.jpg,"[403, 10030, 8146, 525]",[18]
Tootsie,"Comedy, Drama, Romance","['Dustin Hoffman', 'Jessica Lange', 'Teri Garr', 'Dabney Coleman']",['Sydney Pollack'],"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)",English,177200000,USA,17 Dec 1982,116 min,7.4,Won 1 Oscar. Another 24 wins & 29 nominations.,tt0084805.jpg,"[2360, 8106, 4666, 9554]",[2393]
An Officer and a Gentleman,"Drama, Romance","['Richard Gere', 'Debra Winger', 'David Keith', 'Robert Loggia']",['Taylor Hackford'],Douglas Day Stewart,"English, Filipino",129795554,USA,13 Aug 1982,124 min,7.0,Won 2 Oscars. Another 7 wins & 13 nominations.,tt0084434.jpg,"[7556, 12135, 14503, 7673]",[939]
Rocky III,"Drama, Sport","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",['Sylvester Stallone'],Sylvester Stallone,English,122823200,USA,28 May 1982,99 min,6.7,Nominated for 1 Oscar. Another 2 wins & 7 nominations.,tt0084602.jpg,"[10200, 15399, 12860, 5991]",[3123]
48 Hrs.,"Action, Comedy, Crime","['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole"", 'Frank McRae']",['Walter Hill'],"Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza",English,75900000,USA,08 Dec 1982,96 min,6.9,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,tt0083511.jpg,"[861, 14631, 1115, 13467]",[3926]
Poltergeist,"Fantasy, Horror","['Craig T. Nelson', 'JoBeth Williams', 'Beatrice Straight', 'Dominique Dunne']",['Tobe Hooper'],"Steven Spielberg (screenplay), Michael Grais (screenplay), Mark Victor (screenplay), Steven Spielberg (story)",English,76600000,USA,04 Jun 1982,114 min,7.4,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,tt0084516.jpg,"[14227, 8655, 6028, 2813]",[4829]
The Best Little Whorehouse in Texas,"Comedy, Musical","['Burt Reynolds', 'Dolly Parton', 'Dom DeLuise', 'Charles Durning']",['Colin Higgins'],"Larry L. King (play), Peter Masterson (play), Larry L. King (screenplay), Peter Masterson (screenplay), Colin Higgins (screenplay)",English,69700000,USA,23 Jul 1982,114 min,5.8,Nominated for 1 Oscar. Another 2 nominations.,tt0083642.jpg,"[13707, 12113, 14900, 10670]",[1254]
Annie,"Comedy, Drama, Family","['Albert Finney', 'Carol Burnett', 'Ann Reinking', 'Tim Curry']",['John Huston'],"Carol Sobieski (screenplay), Thomas Meehan (book)",English,57100000,USA,18 Jun 1982,127 min,6.5,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,tt0083564.jpg,"[2693, 14189, 2352, 15496]",[4704]
The Verdict,Drama,"['Paul Newman', 'Charlotte Rampling', 'Jack Warden', 'James Mason']",['Sidney Lumet'],"Barry Reed (based upon the novel by), David Mamet (screenplay)",English,54000000,USA,17 Dec 1982,129 min,7.8,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,tt0084855.jpg,"[11378, 8277, 11938, 7146]",[2343]
Gandhi,"Biography, Drama, History","['Ben Kingsley', 'Candice Bergen', 'Edward Fox', 'John Gielgud']",['Richard Attenborough'],John Briley,English,0,"UK, India",25 Feb 1983,191 min,8.1,Won 8 Oscars. Another 27 wins & 20 nominations.,tt0083987.jpg,"[9426, 12526, 4714, 11096]",[4835]
First Blood,"Action, Thriller","['Sylvester Stallone', 'Richard Crenna', 'Brian Dennehy', 'Bill McKinney']",['Ted Kotcheff'],"David Morrell (novel), Michael Kozoll (screenplay), William Sackheim (screenplay), Sylvester Stallone (screenplay)",English,0,USA,22 Oct 1982,93 min,7.7,1 win & 2 nominations.,tt0083944.jpg,"[10200, 7100, 4799, 3529]",[1476]
The Toy,Comedy,"['Richard Pryor', 'Jackie Gleason', 'Ned Beatty', 'Scott Schwartz']",['Richard Donner'],"Carol Sobieski (screenplay), Francis Veber (film)","English, German",50400000,USA,10 Dec 1982,102 min,5.7,1 win.,tt0084809.jpg,"[15259, 3929, 2715, 11470]",[2689]
Firefox,"Action, Adventure, Thriller","['Clint Eastwood', 'Freddie Jones', 'David Huffman', 'Warren Clarke']",['Clint Eastwood'],"Alex Lasker (screenplay), Wendell Wellman (screenplay), Craig Thomas (novel)","English, Russian",46700000,USA,18 Jun 1982,136 min,5.9,,tt0083943.jpg,"[5640, 9808, 3768, 6178]",[2226]
The Dark Crystal,"Animation, Adventure, Family","['Jim Henson', 'Kathryn Mullen', 'Frank Oz', 'Dave Goelz']","['Jim Henson', 'Frank Oz']","David Odell (screenplay), Jim Henson (story)",English,0,"USA, UK",17 Dec 1982,93 min,7.2,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,tt0083791.jpg,"[10173, 10623, 9221, 5549]","[3090, 1873]"
Conan the Barbarian,"Adventure, Fantasy","['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman']",['John Milius'],"Robert E. Howard (based on the character created by), John Milius, Oliver Stone",English,37567440,USA,14 May 1982,129 min,6.9,Won 1 Golden Globe. Another 1 win & 9 nominations.,tt0082198.jpg,"[2724, 1178, 6004, 9172]",[4252]
Best Friends,"Comedy, Drama, Romance","['Burt Reynolds', 'Goldie Hawn', 'Jessica Tandy', 'Barnard Hughes']",['Norman Jewison'],"Valerie Curtin, Barry Levinson","English, Spanish",0,USA,17 Dec 1982,116 min,5.3,Nominated for 1 Oscar. Another 1 nomination.,tt0083641.jpg,"[13707, 218, 1124, 4213]",[2115]
Richard Pryor: Live on the Sunset Strip,"Documentary, Comedy",['Richard Pryor'],['Joe Layton'],Richard Pryor,English,34688873,USA,12 Mar 1982,82 min,7.7,,tt0084597.jpg,[15259],[2629]
